val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.053844102102668344,15506.620271057642,0.1289006208294851,220030.10350331242
0.014729911915394439,80256.2300384265,0.02679711817029305,83544.83758268245
0.009080037098972737,98021.3030513475,0.012886182945293818,96484.26907317854
0.010735986269071322,51178.642316032856,0.010169910245039514,73646.20918229129
0.006307477264532021,112064.02107046433,0.008701618075655287,96351.61795608276
0.0055113708357788435,111257.94621058872,0.007684874678351187,67478.68441026093
0.005648357907169256,128755.82913951714,0.006933615476049701,75192.640829879
0.0055572838139008075,101804.93602335954,0.006547290396706037,75342.80290775458
0.005080040833842354,75364.91748662356,0.006156377661736156,67013.22393734715
0.007124818924094448,53732.80195733078,0.005908190109779905,70702.53219880577
