loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
0.03070268413294247,1314789.7011966747,0.01136015459936874,245.42265657483696
0.01031446805154795,712653.245452561,0.005891448989020092,196.89454680798102
0.006707772877337937,508029.69965836895,0.0053672767048623385,90.01187172256599
0.0046864487855051255,386922.63413700706,0.004068955211673214,75.79011824151047
0.003824649707982244,294330.4454758381,0.0031219693213826467,133.12119098738128
0.0033765417092878392,266995.08050579915,0.0026933187556893927,87.3611905821899
0.0031991437336788293,239537.078931713,0.00349636569864401,39.58374803473635
0.002938844427803555,228991.91673741327,0.0038929684087634087,34.965637121547836
0.002897022660188052,222120.55032872653,0.0027779882381792787,42.640422842415774
0.0027828478893020645,212889.76213342499,0.002879219611321448,65.99605863768848
