val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.007668889701774676,225686.7549220255,0.019304194060533977,184687.22799608408
0.004800827750196196,191124.03823545272,0.009331672844036305,120344.8504506522
0.007793372708742749,186220.72504569276,0.007789358031946893,127316.20986424382
0.005618779237496934,231167.71023099715,0.007119866108425174,117448.46866129988
0.0049850478653528105,138881.68906977406,0.006694536374348564,116956.00164299822
0.004884313946360187,207939.2306179517,0.006282455171374296,103122.14040251808
0.007010270637294201,152615.54540258957,0.006012035039117449,107825.13326362614
0.006310976880972516,187175.03815119495,0.005696998481379079,90994.0031546769
0.004240575454465738,152144.6619175114,0.005412679934020252,84131.55585874879
0.010565122431271697,106685.15945846349,0.0053822590594901,93553.9733081591
