loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
0.03161578386481882,1489571.3600131434,0.02145759798899418,582126.8690530473
0.015377006386924694,785215.0261387633,0.009984040699367012,340601.9006866968
0.008494780778649867,508398.7542113785,0.00827710993760148,102740.39385412521
0.006226947993002976,341946.42438977,0.007443195087600406,157953.1456800509
0.005158061442837969,331188.79911223066,0.005055993932354099,82879.15957051766
0.004533156806033045,308506.20845299674,0.005454391612820015,426219.90380795265
0.0040065014275130015,305582.77760793857,0.0035314968838004255,225599.97050623532
0.003818106834942142,266349.15272615955,0.0030112748206475703,180118.3769276723
0.003562385494360524,249708.65111967424,0.0036482442710392116,95701.21034359331
0.00344719050903601,263735.61592943984,0.003557690667739811,140989.52657481603
