val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.058746004461223245,183669.0526807084,0.05520049833120554,334490.7415910663
0.024009601825959664,268370.8846835927,0.03425580592521304,318653.32241137774
0.016000135236570977,198209.53490480603,0.028020853890209328,166494.05582090002
0.0244380340903488,57731.645051483414,0.021068305038201104,134911.56705533303
0.00797920416180904,169963.43580001438,0.0165007470927733,78174.38593420309
0.011442304119213015,213581.02970951438,0.014484724719891574,101917.44197725122
0.006979544897778676,124567.06007655869,0.012270037189743819,104650.52123179012
0.006052637261808174,147267.15286818935,0.012751609994809522,97425.77321959638
0.015294611565450318,86443.7964039664,0.01167184399686831,133309.899083774
0.008229605527196685,129556.43541984884,0.011225556096447353,117928.06671637337
