loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
0.023070767423791175,973938.8102557821,0.018667588281071085,99937.4227701823
0.012744138562951866,530507.3712461285,0.007388259598619154,246905.49227931356
0.009941417427335614,485530.4680369962,0.009684039287778556,99867.06102159288
0.00916410221813909,501239.08726320363,0.011788290224842027,95834.77935634516
0.007744388749018531,481360.7157644958,0.005284998884313127,219881.858204377
0.00700999283235881,484672.6498957525,0.006696361411585767,212327.13904121594
0.00614288504649193,490914.2100785447,0.0046792136083365,234200.8494090545
0.005946560940411982,490999.2680404059,0.004505099462042762,203852.4398120326
0.005410355607192053,454764.7701416573,0.004847221780950442,113616.05847689637
0.005186963308213237,409528.2287186498,0.005304734154930736,207595.82440655047
