val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.02790137566626072,180.98963928222656,0.045469565329457874,210117.7283842359
0.021583151072263718,101.59807586669922,0.020191766037582926,65832.45136529321
0.012321448884904385,103.13914489746094,0.013819896307533292,51768.246322645406
0.011022507213056087,121.00631713867188,0.010825288774368629,54278.642145407044
0.007570999208837748,79.84465789794922,0.008050646962123402,62680.82654926034
0.006692708004266024,68.42426300048828,0.006386893596202003,74544.62780458103
0.006056818179786205,32.140045166015625,0.006441847475890771,40802.132436593725
0.004992366768419743,50.38776397705078,0.005316040617061415,49528.84980407552
0.005053326021879911,36.69755935668945,0.0047612582232344275,41986.1016041377
0.0045845783315598965,52.59642791748047,0.004432576696486566,52805.61689550689
