5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
01/10/2006 00:00,72,1,100,4043
01/10/2006 00:15,74,1,100,4043
01/10/2006 00:30,74,1,100,4043
01/10/2006 00:45,64,1,100,4043
01/10/2006 01:00,50,1,100,4043
01/10/2006 01:15,49,1,100,4043
01/10/2006 01:30,40,1,100,4043
01/10/2006 01:45,41,1,100,4043
01/10/2006 02:00,26,1,100,4043
01/10/2006 02:15,29,1,100,4043
01/10/2006 02:30,23,1,100,4043
01/10/2006 02:45,16,1,100,4043
01/10/2006 03:00,22,1,100,4043
01/10/2006 03:15,24,1,100,4043
01/10/2006 03:30,15,1,100,4043
01/10/2006 03:45,13,1,100,4043
01/10/2006 04:00,12,1,100,4043
01/10/2006 04:15,18,1,100,4043
01/10/2006 04:30,18,1,100,4043
01/10/2006 04:45,16,1,100,4043
01/10/2006 05:00,21,1,100,4043
01/10/2006 05:15,7,1,100,4043
01/10/2006 05:30,21,1,100,4043
01/10/2006 05:45,21,1,100,4043
01/10/2006 06:00,24,1,100,4043
01/10/2006 06:15,32,1,100,4043
01/10/2006 06:30,54,1,100,4043
01/10/2006 06:45,35,1,100,4043
01/10/2006 07:00,45,1,100,4043
01/10/2006 07:15,51,1,100,4043
01/10/2006 07:30,68,1,100,4043
01/10/2006 07:45,53,1,100,4043
01/10/2006 08:00,72,1,100,4043
01/10/2006 08:15,67,1,100,4043
01/10/2006 08:30,111,1,100,4043
01/10/2006 08:45,126,1,100,4043
01/10/2006 09:00,135,1,100,4043
01/10/2006 09:15,143,1,100,4043
01/10/2006 09:30,161,1,100,4043
01/10/2006 09:45,187,1,100,4043
01/10/2006 10:00,182,1,100,4043
01/10/2006 10:15,208,1,100,4043
01/10/2006 10:30,164,1,100,4043
01/10/2006 10:45,174,1,100,4043
01/10/2006 11:00,198,1,100,4043
01/10/2006 11:15,202,1,100,4043
01/10/2006 11:30,201,1,100,4043
01/10/2006 11:45,242,1,100,4043
01/10/2006 12:00,221,1,100,4043
01/10/2006 12:15,192,1,100,4043
01/10/2006 12:30,216,1,100,4043
